Company,Job,Listing Date,Location,Work Type,Teaser Job,Job ID,Classification,Sub Classification,Job_URL,Classification_encoded,Cluster
Samudra Utama Narapati,Administrasi Staff,7 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Persyaratan : Pendidikan minimal D3, semua jurusan Memiliki pengalaman kerja minimal 2 tahun Menguasai Microsoft office (word, excel, powerpoint)...",82507109,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82507109,0,1
,Admin/Kasir,21 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Kandidat terbiasa dengan pekerjaan yang sifatnya administratif.,82131021,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82131021,0,1
Lippo Karawaci,Sales Legal Administrator - Makassar,14 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Mengurus dokumen transaksi jual beli (pemesanan unit, ikatan jual beli nama, SKMHT, APHT) dengan Konsumen",82308585,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82308585,0,1
Borwita Citra Prima,Branch Operational Manager,1 bulan yang lalu,"Palopo, Sulawesi Selatan",Full time,Maintain operational excellence in branch,81975898,Administrasi & Dukungan Perkantoran,Entri Data & Pengolahan Kata,https://id.jobstreet.com/id/job/81975898,0,1
Modern Hospital Guangzhou,MANDARIN-INDONESIA TRANSLATOR (MAKASSAR OFFICE),11 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Job Description : Translate (Verbally, Written) Deal with Indonesian clients Requirements : Fresh Graduate, Overseas Graduates or Local Graduates...",82409473,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82409473,0,1
PT Global Jet Cargo,Assistant to the Manager (Mandarin Speaker) - Makassar,4 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,J&T Cargo is Hiring : Assistant to the Manager (Mandarin Speaker),82580264,Administrasi & Dukungan Perkantoran,"Asisten Pribadi, Asisten Eksekutif & Sekretarial",https://id.jobstreet.com/id/job/82580264,0,1
New Hope Indonesia,Translator Mandarin,1 hari yang lalu,"Maros, Sulawesi Selatan",Full time,"Terjemahan Mandarin untuk perusahaan ternama, remunerasi kompetitif, lingkungan kerja dinamis, dan kesempatan pengembangan karier.",82644297,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82644297,0,1
,"Lead Host - Front Office, Hyatt Place Makassar",30+ hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"You will be responsible for the efficient running of the department in line with Hyatt International's Corporate Strategies and brand standards, wh...",80283813,Administrasi & Dukungan Perkantoran,Manajemen Perkantoran,https://id.jobstreet.com/id/job/80283813,0,1
,Lowongan Kerja sebagai Office Boy / Girl di Akses Legal Indonesia - Makassar,5 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Lowongan Pekerjaan Office Boy / Girl
Akses Legal Indonesia
Dibutuhkan Segera!
OFFICE BOY / GIRL
Kualifikasi
Usia maksimal 35 tahun
Pendidikan Min. ...",82549975,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82549975,0,1
,Staff Admin Teh Cangkir,5 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,Mengelola dan menginput data menggunakan Microsoft Excel dengan rapi dan akurat.- Melakukan administrasi dokumen dan memastikan semua data tersusun...,82634827,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82634827,0,1
PT Mutiara Gemilang Indonesia,Staff Admin Finance,7 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"- Membuat report dan perhitungan absensi, admistrasi karyawan lain nya.- Memegang kas kecil dan melakukan pembayaran atas transaksi harian.- Mengin...",82589423,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82589423,0,1
,Administration support,4 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,The Core Objectives:Execute projects aimed at enhancing merchant content. Regularly perform data entry tasks and ensure data accuracy. Collaborate ...,82634847,Administrasi & Dukungan Perkantoran,Entri Data & Pengolahan Kata,https://id.jobstreet.com/id/job/82634847,0,1
,Entry Data Processing,5 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,- Penempatan Makassar- Mampu mengolah data menggunakan Ms. Excel & mempresentasikan dalam bentuk data yang mudah dipahami (Pivot)- Menvisualisasika...,82590874,Administrasi & Dukungan Perkantoran,Entri Data & Pengolahan Kata,https://id.jobstreet.com/id/job/82590874,0,1
,Sales Assistant,4 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Sebagai sales assistant produk SKF, maka anda akan berkesempatan untuk bertemu banyak pelanggan dari berbagai industri.",82602083,Administrasi & Dukungan Perkantoran,Administrasi Klien & Penjualan,https://id.jobstreet.com/id/job/82602083,0,1
,Admin - Paid Internship,18 hari yang lalu,"Makassar, Sulawesi Selatan",Paruh waktu,Mau Jadi Admin Super Efisien di Dunia Properti? Internship 3 Bulan Bersama Agen Properti Terbesar Makassar,82247287,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82247287,0,1
Hasel Milek Jaya,Admin Timbangan,1 bulan yang lalu,"Makassar, Sulawesi Selatan",Full time,-,81939792,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/81939792,0,1
Bandung Utara Realty,Admin (Makassar),20 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,PT Karya Sukses Propertindo Sedang Membutuhkan Karyawan Penempatan Makassar untuk Brand Perusahaan Abadi Finance.Deskripsi Pekerjaan Memasukkan...,82162734,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82162734,0,1
Kurniawan Group,ADMIN HRGA,7 hari yang lalu,"Makassar, Sulawesi Selatan",Kontrak,Mengelola segala hal yang berkaitan dengan kebutuhan operasional perusahaan demi menunjang kinerja pegawai.,82506400,Administrasi & Dukungan Perkantoran,Lainnya,https://id.jobstreet.com/id/job/82506400,0,1
Hino Finance Indonesia,Admin Makassar,14 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Fulfilling the requirements of validation documents that are managed according to SOP,82341181,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82341181,0,1
Indomak Kitacipta Karya,Warehouse Admin,11 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,PT Indomak Kitacipta Karya sedang membuka lowongan pekerjaan untuk warehouse admin,82409358,Administrasi & Dukungan Perkantoran,Asisten Administratif,https://id.jobstreet.com/id/job/82409358,0,1
Comextra Majora,Staff Finance,3 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Mengelola proses penagihan dan tukar faktu, Monitoring proses pembayaran, Membuat laporan pembayaran",82626924,Akuntansi,Akuntansi & Pelaporan Finansial,https://id.jobstreet.com/id/job/82626924,1,1
PT UKR,Accounting Quality Control,14 hari yang lalu,"Maros, Sulawesi Selatan",Full time,"- PT. UKR selalu membayar gaji yg lebih tinggi dari perusahaan setara lainnya.  
- Pegawai PT. UKR cuma perlu bekerja 7 jam sehari",82338463,Akuntansi,Akuntansi & Pelaporan Finansial,https://id.jobstreet.com/id/job/82338463,1,1
Siloam Hospitals Group,Accounting Staff (Makassar),19 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Job Descriptions: Preparing the daily operations of the Accounting department. Reconciling finance data and payment reconciliation. Handling all...,82219533,Akuntansi,Pembukuan & Akuntansi Praktik Kecil,https://id.jobstreet.com/id/job/82219533,1,1
Amosys Indonesia,Supervisor Finance & Accounting,6 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,Mencari karyawan yang ulet dan telaten dalam hal keuangan,82531257,Akuntansi,Akuntansi & Pelaporan Finansial,https://id.jobstreet.com/id/job/82531257,1,1
Chandra Sakti Utama Leasing,Corporate Collection Staff (Makassar),20 hari yang lalu,"Makassar, Sulawesi Selatan",Full time,"Job Description: Follow the predetermined billing strategy when performing billing tasks (phone, letter, email, visit) Monitoring, billing, and...",82187177,Akuntansi,Pembukuan & Akuntansi Praktik Kecil,https://id.jobstreet.com/id/job/82187177,1,1
