Company,Job,Job ID,Job_URL,Cluster
Elabram,Promoter Gadget - Palopo,81939670,https://id.jobstreet.com/id/job/81939670,0
Timexs Indonesia,Team Leader,82322891,https://id.jobstreet.com/id/job/82322891,0
,Team Leader,82326946,https://id.jobstreet.com/id/job/82326946,0
Garudafood Putra Putri Jaya,Sales Representative Mix Channel - Palopo,79269207,https://id.jobstreet.com/id/job/79269207,0
Amartha Mikro Fintek,Team Leader Wajo,78905613,https://id.jobstreet.com/id/job/78905613,0
Amartha Mikro Fintek,Team Leader Palopo,78905648,https://id.jobstreet.com/id/job/78905648,0
Indosat,Cluster Sales Executive IM3 - Palopo,82074163,https://id.jobstreet.com/id/job/82074163,0
Kredivo Group,Area Sales Leader - Palopo,82025961,https://id.jobstreet.com/id/job/82025961,0
Amartha Mikro Fintek,TEAM LEADER Sulawesi Tengah ( Banggai & Poso),81971486,https://id.jobstreet.com/id/job/81971486,0
Indodana,Field Investigator Team Leader - Makassar,81907413,https://id.jobstreet.com/id/job/81907413,0
PT Abdi Negara,Tentor Psikologi,77617956,https://id.jobstreet.com/id/job/77617956,1
Edukasi Mandiri Pratama,Senior Teaching Manager,81782935,https://id.jobstreet.com/id/job/81782935,1
,Terapis Eyelash,81942172,https://id.jobstreet.com/id/job/81942172,1
PT Abdi Negara,Tentor Pengetahuan Umum,77626457,https://id.jobstreet.com/id/job/77626457,1
Kurniawan Group,Aset Management,82304866,https://id.jobstreet.com/id/job/82304866,1
Bank Bukopin,Frontliner (Teller/Customer Service) -  Pinrang,82187946,https://id.jobstreet.com/id/job/82187946,1
Edukasi Mandiri Pratama,English Teacher,81784038,https://id.jobstreet.com/id/job/81784038,1
Catur Putraharmonis,Admin Warehouse Out,81870688,https://id.jobstreet.com/id/job/81870688,1
,Tutor PPPK Situational Judgement Test (SJT) Guru,81718203,https://id.jobstreet.com/id/job/81718203,1
,Admin And Support,82201614,https://id.jobstreet.com/id/job/82201614,1
Bogajaya Manna Lestari,HRD,82333586,https://id.jobstreet.com/id/job/82333586,1
PT Suracojaya Abadimotor,Assistant Head of Shipping Warehouse Unit,82260144,https://id.jobstreet.com/id/job/82260144,1
,Sales/Marketing,81590825,https://id.jobstreet.com/id/job/81590825,1
Kurniawan Group,Bookkeeper,82338470,https://id.jobstreet.com/id/job/82338470,1
Kurniawan Group,FINANCE STAFF,82100689,https://id.jobstreet.com/id/job/82100689,1
,Front Office Executive,82270117,https://id.jobstreet.com/id/job/82270117,1
,Manajer Klinik Kesehatan,81843537,https://id.jobstreet.com/id/job/81843537,1
,Staff Akunting,82273132,https://id.jobstreet.com/id/job/82273132,1
Pengiklan Anonim,Area Sales Manager,82301337,https://id.jobstreet.com/id/job/82301337,1
BCA Finance,Relationship Officer BCA Finance - Penempatan Makassar,81879552,https://id.jobstreet.com/id/job/81879552,1
,Shipping Operation Supervisor,81844378,https://id.jobstreet.com/id/job/81844378,1
Indomobil Finance,"Kepala Cabang (Area Kalimantan, Sulawesi, & Maluku-Papua)",81658178,https://id.jobstreet.com/id/job/81658178,1
Lippo Karawaci,Sales Legal Administrator - Makassar,82308585,https://id.jobstreet.com/id/job/82308585,1
KKV International Indonesia,Store Crew - Makassar (Beneunder Brand - Retail Fashion),82250512,https://id.jobstreet.com/id/job/82250512,1
Siloam Hospitals Group,Accounting Staff (Makassar),82219533,https://id.jobstreet.com/id/job/82219533,1
Valdo,Management Trainee (Sulawesi),81814403,https://id.jobstreet.com/id/job/81814403,1
,Admin/Kasir,82131021,https://id.jobstreet.com/id/job/82131021,1
Permodalan Nasional Madani,Staf PKU (Pengembangan Kapasitas Usaha) - Cabang Makassar,81985408,https://id.jobstreet.com/id/job/81985408,1
,HRD MANAGER,82235935,https://id.jobstreet.com/id/job/82235935,1
Hiba Utama,Staff Administrasi (Area Makassar),81720151,https://id.jobstreet.com/id/job/81720151,1
Bank Danamon,Mortgage Specialist (Kota Makassar),81907895,https://id.jobstreet.com/id/job/81907895,1
Ekle's Clinic,Doctor Aesthetic,82101272,https://id.jobstreet.com/id/job/82101272,1
Erajaya Group,Assistant Store Manager / Store Manager - Paris Baguette,82029915,https://id.jobstreet.com/id/job/82029915,1
Bank Danamon,Relationship Manager Funding (Kab Bulukumba),82267672,https://id.jobstreet.com/id/job/82267672,1
Yamaha Motor,PROMOTION STAFF (MAKASSAR),81780884,https://id.jobstreet.com/id/job/81780884,1
PT Sumber Sentuhan Emas,PENGAWAS LAPANGAN,81765998,https://id.jobstreet.com/id/job/81765998,1
Amosys Indonesia,Account Receivable Staff,81878824,https://id.jobstreet.com/id/job/81878824,1
Siloam Hospitals Group,ICT Staff (Makassar),81742556,https://id.jobstreet.com/id/job/81742556,1
Petrosea,Tyre Engineer,81671855,https://id.jobstreet.com/id/job/81671855,1
,Marketing Executive,81799411,https://id.jobstreet.com/id/job/81799411,1
Chandra Sakti Utama Leasing,Corporate Collection Staff (Makassar),82187177,https://id.jobstreet.com/id/job/82187177,1
Pengiklan Anonim,Sales Supervisor FMCG,82301137,https://id.jobstreet.com/id/job/82301137,1
Cimory Dairy Shop,HR Coordinator,81814460,https://id.jobstreet.com/id/job/81814460,1
Parastar Distrindo,Regional Head Of Sulawesi,82264988,https://id.jobstreet.com/id/job/82264988,1
Huayue Nickel Cobalt,Shipping Supervisor,81988666,https://id.jobstreet.com/id/job/81988666,1
Sreeya Sewu Indonesia,Key Account Executive PT. Belfoods Indonesia (Makassar - Sulawesi Selatan),81996257,https://id.jobstreet.com/id/job/81996257,1
Johnson Controls,Sales Engineer,81854924,https://id.jobstreet.com/id/job/81854924,1
,Marketing Sales Executives,82285796,https://id.jobstreet.com/id/job/82285796,1
Indodana,Field Investigator Officer - Makassar,81810259,https://id.jobstreet.com/id/job/81810259,1
Pesta Pora Abadi,QA OPERATION & FOOD SAFETY SYSTEM,81664015,https://id.jobstreet.com/id/job/81664015,1
BNI Life Insurance,BANCASSURANCE SPECIALIST - MAKASSAR (KC PARE PARE & SENGKANG)),82092049,https://id.jobstreet.com/id/job/82092049,1
CIMB Niaga,Field Collection - Makassar,82204871,https://id.jobstreet.com/id/job/82204871,1
Teva Pharmaceutical Industries,"Medical Sales Representative, Makassar",82025469,https://id.jobstreet.com/id/job/82025469,1
Siloam Hospitals Group,Facility Maintenance & General Affair Coordinator (Makassar),82220170,https://id.jobstreet.com/id/job/82220170,1
,Salesman Taking Order,82198946,https://id.jobstreet.com/id/job/82198946,1
Serasi Autoraya,Sales Consultant (Makassar),81732122,https://id.jobstreet.com/id/job/81732122,1
Sekolah Kristen IPEKA,HEAD OF SCHOOL,82073620,https://id.jobstreet.com/id/job/82073620,1
Bintang International,General Accounting Officer,82158315,https://id.jobstreet.com/id/job/82158315,1
Borwita Citra Prima,Branch Operational Manager,81975898,https://id.jobstreet.com/id/job/81975898,1
Pengiklan Anonim,Sales Supervisor FMCG,82300947,https://id.jobstreet.com/id/job/82300947,1
Bintang International,Head Store,81940093,https://id.jobstreet.com/id/job/81940093,1
Cimory Dairy Shop,IT Support,81830520,https://id.jobstreet.com/id/job/81830520,1
Sun Life,"Bancassurance Advisor Syariah - Makassar, Kendari, Ambon",81831799,https://id.jobstreet.com/id/job/81831799,1
FKS Group,Industrial Relations & People Development Specialist,82133561,https://id.jobstreet.com/id/job/82133561,1
Micro Madani Institute,Human Resource Business Partner (HRBP) Officer,82178524,https://id.jobstreet.com/id/job/82178524,1
Mitsubishi Tanabe Pharma,Medical Representative,82152349,https://id.jobstreet.com/id/job/82152349,1
Beton Perkasa Wijaksana,SUPERVISI PROYEK,81744586,https://id.jobstreet.com/id/job/81744586,1
Vale,Automation Engineer,81910258,https://id.jobstreet.com/id/job/81910258,1
Norxel Technology Indonesia,Electrical Engineer Pare- pare,81731985,https://id.jobstreet.com/id/job/81731985,1
Cimory Dairy Shop,Legal & Permit Coordinator,81837296,https://id.jobstreet.com/id/job/81837296,1
Pengiklan Anonim,Regional Sales Manager - Sulawesi & Papua,81894883,https://id.jobstreet.com/id/job/81894883,1
OneMed,SALES PROMOTION SUPERVISOR,82171590,https://id.jobstreet.com/id/job/82171590,1
,Legal Staff,82127343,https://id.jobstreet.com/id/job/82127343,1
Bintang International,PROCUREMENT OFFICER,81949859,https://id.jobstreet.com/id/job/81949859,1
PT Berkah Giat Jaya,District Sales Manager (Makassar - Manado - Semarang),82130076,https://id.jobstreet.com/id/job/82130076,1
Centrepark Citra Corpora,"Regional HC Supervisor - Area Kalimantan, Sulawesi, Maluku, Papua",81660389,https://id.jobstreet.com/id/job/81660389,1
Matahari Graha Fantasi,Teknisi - Timezone Makassar,82052924,https://id.jobstreet.com/id/job/82052924,1
,Manager Quality Control,81675203,https://id.jobstreet.com/id/job/81675203,1
Datascrip,Branch Supervisor (Makassar),82010047,https://id.jobstreet.com/id/job/82010047,1
Seabank Indonesia,"Relationship Manager Funding, SeaBank (Branch Makassar)",81959578,https://id.jobstreet.com/id/job/81959578,1
PT Sumber Inti Global Sukses,Manager Marketing Alat Berat Makassar,81946945,https://id.jobstreet.com/id/job/81946945,1
Penguin Indonesia,Sales Representative (Makassar),82233715,https://id.jobstreet.com/id/job/82233715,1
